label	path
Basic cofold	21
Basic cofold	15
Basic cofold	17
Basic cofold	19
Basic cofold	26
Basic cofold	23
Basic cofold	20
Basic cofold	15
Basic cofold	13
Basic cofold	18
Basic cofold	21
Basic cofold	21
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	41
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	19
Best helix cofold with RNAfold in second step	18
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	14
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	24
Folding rule	20
Folding rule	24
Folding rule	26
Folding rule	23
Folding rule	32
Folding rule	23
Folding rule	34
Folding rule	17
Folding rule	35
Folding rule	31
Folding rule	24
Folding rule	35
Folding rule	37
Folding rule	22
Folding rule	29
Folding rule	32
Folding rule	33
Folding rule	25
Folding rule	21
Folding rule	30
Folding rule	33
Folding rule	28
Folding rule	23
Folding rule	29
Folding rule	24
Folding rule	28
Folding rule	24
Folding rule	25
Folding rule	24
Folding rule	22
Folding rule	24
Folding rule	24
Folding rule	23
Folding rule	30
Folding rule	24
Folding rule	24
Folding rule	26
Folding rule	33
Folding rule	35
Folding rule	23
Folding rule	31
Folding rule	15
Folding rule	30
Folding rule	24
Folding rule	36
Folding rule	17
Folding rule	27
Folding rule	25
Folding rule	30
Folding rule	24
Beam search	31
Beam search	57
Beam search	24
Beam search	27
Beam search	35
Beam search	27
Beam search	26
Beam search	28
Beam search	47
Beam search	42
Beam search	29
Beam search	31
Beam search	33
Beam search	34
Beam search	26
Beam search	37
Beam search	35
Beam search	52
Beam search	34
Beam search	28
Beam search	26
Beam search	30
Beam search	26
Beam search	27
Beam search	27
Beam search	76
Beam search	27
Beam search	28
Beam search	64
Beam search	26
Beam search	27
Beam search	24
Beam search	30
Beam search	38
Beam search	31
Beam search	24
Beam search	25
Beam search	25
Beam search	22
Beam search	30
Beam search	34
Beam search	23
Beam search	29
Beam search	34
Beam search	34
Beam search	66
Beam search	34
Beam search	28
Beam search	36
Beam search	27
RNAfold	25
RNAfold	27
RNAfold	34
RNAfold	24
RNAfold	46
RNAfold	35
RNAfold	28
RNAfold	32
RNAfold	25
RNAfold	32
RNAfold	33
RNAfold	27
RNAfold	32
RNAfold	41
RNAfold	28
RNAfold	31
RNAfold	35
RNAfold	30
RNAfold	24
RNAfold	35
RNAfold	27
RNAfold	27
RNAfold	30
RNAfold	31
RNAfold	23
RNAfold	30
RNAfold	27
RNAfold	24
RNAfold	36
RNAfold	25
RNAfold	47
RNAfold	27
RNAfold	27
RNAfold	29
RNAfold	27
RNAfold	37
RNAfold	26
RNAfold	47
RNAfold	26
RNAfold	21
RNAfold	28
RNAfold	33
RNAfold	28
RNAfold	28
RNAfold	27
RNAfold	32
RNAfold	36
RNAfold	34
RNAfold	33
RNAfold	35
Look behind fold	20
Look behind fold	26
Look behind fold	17
Look behind fold	21
Look behind fold	26
Look behind fold	23
Look behind fold	19
Look behind fold	13
Look behind fold	18
Look behind fold	24
Look behind fold	21
Look behind fold	19
Look behind fold	24
Look behind fold	18
Look behind fold	21
Look behind fold	23
Look behind fold	20
Look behind fold	25
Look behind fold	23
Look behind fold	25
Look behind fold	22
Look behind fold	17
Look behind fold	23
Look behind fold	22
Look behind fold	23
Look behind fold	23
Look behind fold	21
Look behind fold	19
Look behind fold	26
Look behind fold	25
Look behind fold	25
Look behind fold	19
Look behind fold	23
Look behind fold	18
Look behind fold	26
Look behind fold	31
Look behind fold	20
Look behind fold	25
Look behind fold	25
Look behind fold	18
Look behind fold	19
Look behind fold	20
Look behind fold	20
Look behind fold	23
Look behind fold	20
Look behind fold	24
Look behind fold	23
Look behind fold	26
Look behind fold	24
Look behind fold	26
Basic cofold	17
Basic cofold	21
Basic cofold	19
Basic cofold	22
Basic cofold	22
Basic cofold	26
Basic cofold	20
Basic cofold	30
Basic cofold	18
Basic cofold	16
Basic cofold	22
Basic cofold	18
Basic cofold	15
Basic cofold	14
Basic cofold	20
Basic cofold	21
Basic cofold	20
Basic cofold	20
Basic cofold	23
Basic cofold	17
Basic cofold	20
Basic cofold	24
Basic cofold	20
Basic cofold	24
Basic cofold	21
Basic cofold	17
Basic cofold	19
Basic cofold	25
Basic cofold	28
Basic cofold	22
Basic cofold	18
Basic cofold	21
Basic cofold	19
Basic cofold	27
Basic cofold	21
Basic cofold	24
Basic cofold	20
Basic cofold	22
Basic cofold	25
Basic cofold	29
Basic cofold	18
Basic cofold	19
Basic cofold	22
Basic cofold	27
Basic cofold	13
Basic cofold	22
Basic cofold	25
Basic cofold	31
Basic cofold	21
Basic cofold	25
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	41
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	39
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	27
Folding rule	23
Folding rule	26
Folding rule	34
Folding rule	23
Folding rule	43
Folding rule	35
Folding rule	38
Folding rule	34
Folding rule	31
Folding rule	29
Folding rule	26
Folding rule	38
Folding rule	23
Folding rule	29
Folding rule	32
Folding rule	24
Folding rule	37
Folding rule	30
Folding rule	26
Folding rule	20
Folding rule	25
Folding rule	40
Folding rule	25
Folding rule	28
Folding rule	20
Folding rule	25
Folding rule	27
Folding rule	21
Folding rule	20
Folding rule	28
Folding rule	30
Folding rule	30
Folding rule	27
Folding rule	29
Folding rule	25
Folding rule	37
Folding rule	27
Folding rule	32
Folding rule	23
Folding rule	21
Folding rule	27
Folding rule	27
Folding rule	30
Folding rule	25
Folding rule	19
Folding rule	29
Folding rule	27
Folding rule	22
Folding rule	26
Folding rule	39
Beam search	76
Beam search	38
Beam search	44
Beam search	20
Beam search	38
Beam search	33
Beam search	27
Beam search	61
Beam search	23
Beam search	36
Beam search	39
Beam search	40
Beam search	31
Beam search	30
Beam search	69
Beam search	37
Beam search	31
Beam search	30
Beam search	32
Beam search	19
Beam search	26
Beam search	34
Beam search	37
Beam search	58
Beam search	43
Beam search	39
Beam search	28
Beam search	34
Beam search	20
Beam search	34
Beam search	48
Beam search	23
Beam search	28
Beam search	53
Beam search	34
Beam search	49
Beam search	36
Beam search	29
Beam search	41
Beam search	23
Beam search	35
Beam search	31
Beam search	24
Beam search	31
Beam search	26
Beam search	29
Beam search	30
Beam search	64
Beam search	28
Beam search	37
RNAfold	30
RNAfold	24
RNAfold	31
RNAfold	24
RNAfold	19
RNAfold	34
RNAfold	26
RNAfold	33
RNAfold	25
RNAfold	25
RNAfold	21
RNAfold	28
RNAfold	27
RNAfold	29
RNAfold	28
RNAfold	26
RNAfold	34
RNAfold	33
RNAfold	25
RNAfold	26
RNAfold	25
RNAfold	28
RNAfold	24
RNAfold	35
RNAfold	36
RNAfold	30
RNAfold	25
RNAfold	28
RNAfold	19
RNAfold	37
RNAfold	37
RNAfold	24
RNAfold	24
RNAfold	20
RNAfold	23
RNAfold	25
RNAfold	33
RNAfold	25
RNAfold	25
RNAfold	37
RNAfold	38
RNAfold	36
RNAfold	27
RNAfold	26
RNAfold	29
RNAfold	24
RNAfold	24
RNAfold	34
RNAfold	39
RNAfold	32
Look behind fold	26
Look behind fold	17
Look behind fold	21
Look behind fold	20
Look behind fold	19
Look behind fold	28
Look behind fold	18
Look behind fold	20
Look behind fold	20
Look behind fold	24
Look behind fold	19
Look behind fold	14
Look behind fold	19
Look behind fold	21
Look behind fold	19
Look behind fold	23
Look behind fold	25
Look behind fold	20
Look behind fold	19
Look behind fold	22
Look behind fold	21
Look behind fold	20
Look behind fold	23
Look behind fold	18
Look behind fold	20
Look behind fold	21
Look behind fold	25
Look behind fold	18
Look behind fold	21
Look behind fold	21
Look behind fold	22
Look behind fold	23
Look behind fold	22
Look behind fold	23
Look behind fold	29
Look behind fold	17
Look behind fold	21
Look behind fold	21
Look behind fold	23
Look behind fold	20
Look behind fold	20
Look behind fold	23
Look behind fold	24
Look behind fold	24
Look behind fold	25
Look behind fold	13
Look behind fold	21
Look behind fold	19
Look behind fold	24
Look behind fold	14
Basic cofold	23
Basic cofold	26
Basic cofold	13
Basic cofold	14
Basic cofold	16
Basic cofold	15
Basic cofold	22
Basic cofold	22
Basic cofold	19
Basic cofold	22
Basic cofold	17
Basic cofold	19
Basic cofold	19
Basic cofold	26
Basic cofold	20
Basic cofold	22
Basic cofold	16
Basic cofold	24
Basic cofold	17
Basic cofold	18
Basic cofold	21
Basic cofold	22
Basic cofold	26
Basic cofold	26
Basic cofold	18
Basic cofold	17
Basic cofold	22
Basic cofold	18
Basic cofold	25
Basic cofold	23
Basic cofold	17
Basic cofold	18
Basic cofold	24
Basic cofold	24
Basic cofold	17
Basic cofold	19
Basic cofold	19
Basic cofold	30
Basic cofold	19
Basic cofold	16
Basic cofold	23
Basic cofold	17
Basic cofold	23
Basic cofold	21
Basic cofold	14
Basic cofold	18
Basic cofold	20
Basic cofold	17
Basic cofold	13
Basic cofold	14
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	19
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	36
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	46
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	12
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	29
Folding rule	34
Folding rule	26
Folding rule	18
Folding rule	24
Folding rule	14
Folding rule	23
Folding rule	23
Folding rule	34
Folding rule	28
Folding rule	19
Folding rule	20
Folding rule	24
Folding rule	23
Folding rule	22
Folding rule	20
Folding rule	28
Folding rule	24
Folding rule	29
Folding rule	19
Folding rule	25
Folding rule	26
Folding rule	22
Folding rule	27
Folding rule	26
Folding rule	35
Folding rule	31
Folding rule	26
Folding rule	31
Folding rule	23
Folding rule	35
Folding rule	23
Folding rule	28
Folding rule	25
Folding rule	22
Folding rule	24
Folding rule	23
Folding rule	29
Folding rule	24
Folding rule	27
Folding rule	26
Folding rule	37
Folding rule	30
Folding rule	24
Folding rule	25
Folding rule	13
Folding rule	27
Folding rule	21
Folding rule	28
Folding rule	21
Folding rule	22
Beam search	34
Beam search	24
Beam search	29
Beam search	22
Beam search	32
Beam search	29
Beam search	30
Beam search	54
Beam search	39
Beam search	34
Beam search	22
Beam search	27
Beam search	58
Beam search	51
Beam search	41
Beam search	32
Beam search	34
Beam search	49
Beam search	26
Beam search	24
Beam search	35
Beam search	23
Beam search	30
Beam search	32
Beam search	39
Beam search	39
Beam search	33
Beam search	39
Beam search	19
Beam search	40
Beam search	36
Beam search	37
Beam search	45
Beam search	70
Beam search	36
Beam search	29
Beam search	32
Beam search	44
Beam search	25
Beam search	30
Beam search	37
Beam search	32
Beam search	31
Beam search	25
Beam search	22
Beam search	37
Beam search	30
Beam search	28
Beam search	36
Beam search	49
RNAfold	32
RNAfold	23
RNAfold	23
RNAfold	32
RNAfold	26
RNAfold	25
RNAfold	23
RNAfold	39
RNAfold	34
RNAfold	26
RNAfold	26
RNAfold	34
RNAfold	33
RNAfold	48
RNAfold	29
RNAfold	40
RNAfold	27
RNAfold	34
RNAfold	27
RNAfold	26
RNAfold	39
RNAfold	44
RNAfold	32
RNAfold	34
RNAfold	28
RNAfold	29
RNAfold	25
RNAfold	34
RNAfold	34
RNAfold	29
RNAfold	31
RNAfold	33
RNAfold	30
RNAfold	29
RNAfold	22
RNAfold	30
RNAfold	23
RNAfold	29
RNAfold	32
RNAfold	29
RNAfold	37
RNAfold	34
RNAfold	22
RNAfold	40
RNAfold	29
RNAfold	33
RNAfold	32
RNAfold	28
RNAfold	22
RNAfold	28
Look behind fold	23
Look behind fold	19
Look behind fold	22
Look behind fold	19
Look behind fold	23
Look behind fold	20
Look behind fold	22
Look behind fold	25
Look behind fold	18
Look behind fold	17
Look behind fold	21
Look behind fold	21
Look behind fold	22
Look behind fold	17
Look behind fold	24
Look behind fold	25
Look behind fold	27
Look behind fold	25
Look behind fold	18
Look behind fold	19
Look behind fold	21
Look behind fold	24
Look behind fold	29
Look behind fold	21
Look behind fold	19
Look behind fold	24
Look behind fold	25
Look behind fold	24
Look behind fold	22
Look behind fold	20
Look behind fold	30
Look behind fold	25
Look behind fold	19
Look behind fold	26
Look behind fold	23
Look behind fold	23
Look behind fold	14
Look behind fold	20
Look behind fold	24
Look behind fold	26
Look behind fold	28
Look behind fold	23
Look behind fold	17
Look behind fold	24
Look behind fold	17
Look behind fold	15
Look behind fold	24
Look behind fold	21
Look behind fold	22
Look behind fold	29
Basic cofold	16
Basic cofold	27
Basic cofold	26
Basic cofold	26
Basic cofold	21
Basic cofold	17
Basic cofold	24
Basic cofold	20
Basic cofold	30
Basic cofold	15
Basic cofold	14
Basic cofold	19
Basic cofold	19
Basic cofold	23
Basic cofold	17
Basic cofold	16
Basic cofold	18
Basic cofold	27
Basic cofold	24
Basic cofold	29
Basic cofold	20
Basic cofold	23
Basic cofold	28
Basic cofold	19
Basic cofold	23
Basic cofold	26
Basic cofold	20
Basic cofold	25
Basic cofold	20
Basic cofold	19
Basic cofold	13
Basic cofold	8
Basic cofold	27
Basic cofold	18
Basic cofold	24
Basic cofold	22
Basic cofold	19
Basic cofold	21
Basic cofold	17
Basic cofold	20
Basic cofold	16
Basic cofold	29
Basic cofold	22
Basic cofold	23
Basic cofold	22
Basic cofold	19
Basic cofold	21
Basic cofold	20
Basic cofold	17
Basic cofold	25
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	45
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	36
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	48
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	42
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	40
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	16
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	42
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	33
Folding rule	22
Folding rule	28
Folding rule	24
Folding rule	24
Folding rule	26
Folding rule	28
Folding rule	26
Folding rule	32
Folding rule	39
Folding rule	24
Folding rule	34
Folding rule	34
Folding rule	23
Folding rule	35
Folding rule	36
Folding rule	27
Folding rule	29
Folding rule	27
Folding rule	36
Folding rule	25
Folding rule	26
Folding rule	21
Folding rule	27
Folding rule	31
Folding rule	30
Folding rule	26
Folding rule	28
Folding rule	27
Folding rule	31
Folding rule	24
Folding rule	31
Folding rule	24
Folding rule	28
Folding rule	19
Folding rule	26
Folding rule	36
Folding rule	26
Folding rule	26
Folding rule	28
Folding rule	17
Folding rule	36
Folding rule	44
Folding rule	30
Folding rule	30
Folding rule	23
Folding rule	34
Folding rule	27
Folding rule	24
Folding rule	36
Folding rule	27
Beam search	29
Beam search	32
Beam search	26
Beam search	37
Beam search	64
Beam search	22
Beam search	24
Beam search	34
Beam search	45
Beam search	25
Beam search	33
Beam search	37
Beam search	43
Beam search	46
Beam search	34
Beam search	32
Beam search	24
Beam search	36
Beam search	43
Beam search	30
Beam search	24
Beam search	38
Beam search	47
Beam search	37
Beam search	32
Beam search	31
Beam search	19
Beam search	34
Beam search	27
Beam search	42
Beam search	28
Beam search	35
Beam search	28
Beam search	70
Beam search	32
Beam search	39
Beam search	33
Beam search	23
Beam search	72
Beam search	28
Beam search	29
Beam search	34
Beam search	27
Beam search	35
Beam search	32
Beam search	29
Beam search	35
Beam search	24
Beam search	34
Beam search	42
RNAfold	31
RNAfold	41
RNAfold	32
RNAfold	43
RNAfold	36
RNAfold	27
RNAfold	27
RNAfold	34
RNAfold	36
RNAfold	23
RNAfold	37
RNAfold	26
RNAfold	28
RNAfold	27
RNAfold	24
RNAfold	30
RNAfold	28
RNAfold	28
RNAfold	34
RNAfold	40
RNAfold	39
RNAfold	20
RNAfold	33
RNAfold	31
RNAfold	32
RNAfold	29
RNAfold	30
RNAfold	23
RNAfold	27
RNAfold	33
RNAfold	55
RNAfold	32
RNAfold	35
RNAfold	22
RNAfold	41
RNAfold	35
RNAfold	37
RNAfold	21
RNAfold	19
RNAfold	23
RNAfold	31
RNAfold	23
RNAfold	27
RNAfold	31
RNAfold	23
RNAfold	15
RNAfold	31
RNAfold	29
RNAfold	30
RNAfold	31
Look behind fold	20
Look behind fold	19
Look behind fold	21
Look behind fold	18
Look behind fold	16
Look behind fold	22
Look behind fold	20
Look behind fold	28
Look behind fold	21
Look behind fold	18
Look behind fold	29
Look behind fold	19
Look behind fold	21
Look behind fold	19
Look behind fold	29
Look behind fold	22
Look behind fold	21
Look behind fold	36
Look behind fold	22
Look behind fold	29
Look behind fold	20
Look behind fold	20
Look behind fold	17
Look behind fold	21
Look behind fold	23
Look behind fold	10
Look behind fold	23
Look behind fold	24
Look behind fold	20
Look behind fold	24
Look behind fold	22
Look behind fold	27
Look behind fold	24
Look behind fold	23
Look behind fold	25
Look behind fold	18
Look behind fold	21
Look behind fold	23
Look behind fold	24
Look behind fold	20
Look behind fold	21
Look behind fold	18
Look behind fold	22
Look behind fold	23
Look behind fold	19
Look behind fold	23
Look behind fold	19
Look behind fold	28
Look behind fold	23
Look behind fold	26
Basic cofold	23
Basic cofold	25
Basic cofold	21
Basic cofold	25
Basic cofold	30
Basic cofold	28
Basic cofold	23
Basic cofold	14
Basic cofold	20
Basic cofold	27
Basic cofold	21
Basic cofold	26
Basic cofold	24
Basic cofold	15
Basic cofold	24
Basic cofold	25
Basic cofold	17
Basic cofold	24
Basic cofold	20
Basic cofold	22
Basic cofold	16
Basic cofold	27
Basic cofold	15
Basic cofold	28
Basic cofold	28
Basic cofold	19
Basic cofold	24
Basic cofold	24
Basic cofold	18
Basic cofold	21
Basic cofold	23
Basic cofold	17
Basic cofold	17
Basic cofold	21
Basic cofold	26
Basic cofold	22
Basic cofold	26
Basic cofold	16
Basic cofold	21
Basic cofold	16
Basic cofold	15
Basic cofold	17
Basic cofold	18
Basic cofold	20
Basic cofold	20
Basic cofold	20
Basic cofold	26
Basic cofold	27
Basic cofold	26
Basic cofold	26
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	45
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	39
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	19
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	38
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	44
Best helix cofold with RNAfold in second step	36
Folding rule	34
Folding rule	38
Folding rule	31
Folding rule	20
Folding rule	22
Folding rule	27
Folding rule	29
Folding rule	46
Folding rule	24
Folding rule	28
Folding rule	28
Folding rule	29
Folding rule	24
Folding rule	24
Folding rule	19
Folding rule	21
Folding rule	22
Folding rule	27
Folding rule	34
Folding rule	25
Folding rule	37
Folding rule	17
Folding rule	34
Folding rule	27
Folding rule	29
Folding rule	25
Folding rule	27
Folding rule	25
Folding rule	26
Folding rule	33
Folding rule	22
Folding rule	19
Folding rule	32
Folding rule	25
Folding rule	27
Folding rule	33
Folding rule	31
Folding rule	17
Folding rule	25
Folding rule	21
Folding rule	30
Folding rule	27
Folding rule	25
Folding rule	30
Folding rule	20
Folding rule	16
Folding rule	34
Folding rule	33
Folding rule	47
Folding rule	28
Beam search	30
Beam search	42
Beam search	39
Beam search	36
Beam search	37
Beam search	26
Beam search	34
Beam search	32
Beam search	30
Beam search	28
Beam search	39
Beam search	26
Beam search	43
Beam search	23
Beam search	30
Beam search	23
Beam search	30
Beam search	26
Beam search	30
Beam search	54
Beam search	47
Beam search	21
Beam search	42
Beam search	61
Beam search	24
Beam search	40
Beam search	64
Beam search	27
Beam search	39
Beam search	32
Beam search	64
Beam search	36
Beam search	29
Beam search	29
Beam search	34
Beam search	30
Beam search	32
Beam search	23
Beam search	23
Beam search	25
Beam search	33
Beam search	54
Beam search	28
Beam search	35
Beam search	32
Beam search	20
Beam search	45
Beam search	38
Beam search	42
Beam search	31
RNAfold	31
RNAfold	29
RNAfold	23
RNAfold	25
RNAfold	17
RNAfold	23
RNAfold	18
RNAfold	28
RNAfold	21
RNAfold	31
RNAfold	30
RNAfold	24
RNAfold	28
RNAfold	33
RNAfold	32
RNAfold	26
RNAfold	32
RNAfold	37
RNAfold	30
RNAfold	29
RNAfold	21
RNAfold	27
RNAfold	27
